"question_id","outline_code","source_outline_code","coverage_group","seed_bucket","correct_percent","key","has_finished_transform","qbank_path","transform_path","selected_path","review_status"
"22231","32020404","32020404","adjacent_pilot_code","needs_human_review",,"C","True","C:\FOC\Workspace\QBank\22231.md","C:\FOC\Workspace\Finished\CQ22231.md","C:\FOC\Workspace\Finished\CQ22231.md","seed_candidate_needs_human_review"
"14763","33040203","33040203","non_hearsay_purpose","hard_or_high_pick_rate_trap","27","C","True","C:\FOC\Workspace\QBank\14763.md","C:\FOC\Workspace\Finished\CQ14763.md","C:\FOC\Workspace\Finished\CQ14763.md","seed_candidate_needs_human_review"
"14772","33040203","33040203","non_hearsay_purpose","clean_teaching","76","C","True","C:\FOC\Workspace\QBank\14772.md","C:\FOC\Workspace\Finished\CQ14772.md","C:\FOC\Workspace\Finished\CQ14772.md","seed_candidate_needs_human_review"
"14778","33040203","33040203","non_hearsay_purpose","clean_teaching","68","C","True","C:\FOC\Workspace\QBank\14778.md","C:\FOC\Workspace\Finished\CQ14778.md","C:\FOC\Workspace\Finished\CQ14778.md","seed_candidate_needs_human_review"
"14807","33040203","33040203","non_hearsay_purpose","clean_teaching","66","C","False","C:\FOC\Workspace\QBank\14807.md",,"C:\FOC\Workspace\QBank\14807.md","seed_candidate_needs_human_review"
"14808","33040203","33040203","non_hearsay_purpose","clean_teaching","61","C","True","C:\FOC\Workspace\QBank\14808.md","C:\FOC\Workspace\Finished\CQ14808.md","C:\FOC\Workspace\Finished\CQ14808.md","seed_candidate_needs_human_review"
"14757","33040301","33040301","hearsay_exception","hard_or_high_pick_rate_trap","17","D","False","C:\FOC\Workspace\QBank\14757.md",,"C:\FOC\Workspace\QBank\14757.md","seed_candidate_needs_human_review"
"14767","33040301","33040301","hearsay_exception","clean_teaching","67","C","True","C:\FOC\Workspace\QBank\14767.md","C:\FOC\Workspace\Finished\CQ14767.md","C:\FOC\Workspace\Finished\CQ14767.md","seed_candidate_needs_human_review"
"14777","33040301","33040301","hearsay_exception","medium_friction","56","C","True","C:\FOC\Workspace\QBank\14777.md","C:\FOC\Workspace\Finished\CQ14777.md","C:\FOC\Workspace\Finished\CQ14777.md","seed_candidate_needs_human_review"
"14781","33040301","33040301","hearsay_exception","clean_teaching","69","D","True","C:\FOC\Workspace\QBank\14781.md","C:\FOC\Workspace\Finished\CQ14781.md","C:\FOC\Workspace\Finished\CQ14781.md","seed_candidate_needs_human_review"
"22198","33040301","35030200","hearsay_exception","recode_or_ambiguous",,"C","True","C:\FOC\Workspace\QBank\22198.md","C:\FOC\Workspace\Finished\CQ22198.md","C:\FOC\Workspace\Finished\CQ22198.md","seed_candidate_needs_human_review"
"14769","33040302","33040302","hearsay_exception","medium_friction","50","D","True","C:\FOC\Workspace\QBank\14769.md","C:\FOC\Workspace\Finished\CQ14769.md","C:\FOC\Workspace\Finished\CQ14769.md","seed_candidate_needs_human_review"
"14791","33040302","33040302","hearsay_exception","medium_friction","44","D","True","C:\FOC\Workspace\QBank\14791.md","C:\FOC\Workspace\Finished\CQ14791.md","C:\FOC\Workspace\Finished\CQ14791.md","seed_candidate_needs_human_review"
"22150","33040302","31010405","hearsay_exception","recode_or_ambiguous",,"A","True","C:\FOC\Workspace\QBank\22150.md","C:\FOC\Workspace\Finished\CQ22150.md","C:\FOC\Workspace\Finished\CQ22150.md","seed_candidate_needs_human_review"
"22152","33040302","31010500","hearsay_exception","recode_or_ambiguous",,"C","True","C:\FOC\Workspace\QBank\22152.md","C:\FOC\Workspace\Finished\CQ22152.md","C:\FOC\Workspace\Finished\CQ22152.md","seed_candidate_needs_human_review"
"22157","33040302","31010100","hearsay_exception","recode_or_ambiguous",,"C","True","C:\FOC\Workspace\QBank\22157.md","C:\FOC\Workspace\Finished\CQ22157.md","C:\FOC\Workspace\Finished\CQ22157.md","seed_candidate_needs_human_review"
"14863","35030304","35030304","fre_403_insurance_policy_purpose","clean_teaching","94",,"True","C:\FOC\Workspace\QBank\14863.md","C:\FOC\Workspace\Finished\CQ14863_updated.md","C:\FOC\Workspace\Finished\CQ14863_updated.md","seed_candidate_needs_human_review"
"17192","35030304","35030304","fre_403_insurance_policy_purpose","needs_human_review",,"A","False","C:\FOC\Workspace\QBank\17192.md",,"C:\FOC\Workspace\QBank\17192.md","seed_candidate_needs_human_review"
"17761","35030304","35030304","fre_403_insurance_policy_purpose","needs_human_review",,"A","False","C:\FOC\Workspace\QBank\17761.md",,"C:\FOC\Workspace\QBank\17761.md","seed_candidate_needs_human_review"
"22156","35030304","31010100","fre_403_insurance_policy_purpose","recode_or_ambiguous",,"B","True","C:\FOC\Workspace\QBank\22156.md","C:\FOC\Workspace\Finished\CQ22156.md","C:\FOC\Workspace\Finished\CQ22156.md","seed_candidate_needs_human_review"
"22229","35030304","35030304","fre_403_insurance_policy_purpose","needs_human_review",,"B","True","C:\FOC\Workspace\QBank\22229.md","C:\FOC\Workspace\Finished\CQ22229.md","C:\FOC\Workspace\Finished\CQ22229.md","seed_candidate_needs_human_review"
